"Customer","Cust Name","Addr 1","Addr 2","City","State","Postal","Country","Cust Tel","Cust Fax","Cust Type","Priority","Cust Vendor No","Ship Via","Ups Act No","Bol Type","Terms","Disc","Line Disc","Pr Cd","Rep1","Comm1","Rep2","Comm2","Rep3","Comm3","Territory","Master Cust","Cust Alias","Controller","Cust Ref1","Cust Ref2","Factor","Factor Cust No","Factor Appr No","Ship Type","Back Order","Fed Tax Id","Tax Exempt","Currency","Def Wh","Price List Id","Order Type","Order Hold","Div","Restrict Order Div","Restrict Style Div","Active","Entered By","Entry Date","Modified By","Modify Date","Terms Description","Credit Line","Cust Ref3","Cust Ref4","Cust Ref5","Sh Rule"
"LECHAT","LE CHATEAU","ACCOUNTS PAYABLE","8300 DECARIE BOULEVARD","MONTREAL","QC","H4P2P5","CANADA","514-738-7000","514-342-0851","","C","","UPSGROUND","","001","30","","","LP","HET","","","","","","","LECHAT","","","","","001","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","14-MAY-08","SAMMYH","10-NOV-20","NET 30","","","","",""
"LECHATEAU","LE CHATEAU, INC.","8300 BOULEVARD DÉCARIE","","MONTREAL QUEBEC","","H4P2P5","CANADA","(514) 515-5967","","","C","","UPSGROUND","","","30","","","LP","HET","","","","","","","LECHATEAU","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","BENJIE","04-DEC-12","SAMMYH","10-NOV-20","NET 30","","","","",""
"LEDAOFROMA","LEDA OF ROMA LLC","3797 PINE LAKE DRIVE","","WESTON","FL","33332","USA","305-772-1852","954-217-9358","","C","","UPSGROUND","","001","30","","","LP","HET","","","","","","","LEDAOFROMA","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","10-NOV-20","NET 30","","","","",""
"LEEBARON","LEE BARON","WEST HILL MALL # 1208","","HUNTSVILLE","TX","77340","USA","936-291-1118","000-000-0000","","C","","UPSGROUND","","001","30","","","LP","HET","","","","","","","LEEBARON","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","TASHA","05-MAR-08","SAMMYH","10-NOV-20","NET 30","","","","",""
"LEED","LEED CREATION, INC.","FRED LEE","14263 PROCTOR AVE. #E.,","LA PUENTE","CA","91746","","626-968-6899","626-968-6859","","C","","UPSGROUND","","","30","","","LP","HET","","","","","","","LEED","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","AP","06-FEB-14","SAMMYH","10-NOV-20","NET 30","","","","",""
"LEESHALLMA","LEES HALLMARK SHOPS BLSMARCK","605 KIRKWOOD MALL","","BISMARACK","ND","58504","USA","701-255-4821","701-224-4428","","C","","UPSGROUND","","001","30","","","LP","HET","","","","","","","LEESHALLMA","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","10-NOV-20","NET 30","","","","",""
"LEFEMMEAPP","LE FEMME APPAREL","CHESHIRE CENTER 124 S. MAIN STREET","","CHESHIRE","CT","06410","USA","203-272-2685","","","C","","UPSGROUND","","001","30","","","LP","HET","","","","","","","LEFEMMEAPP","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","10-NOV-20","NET 30","","","","",""
"LEGTOYS","LEGACY TOYS","PO BOX 657","","ELY","MN","55731","USA","999 999-9999","","","C","","","","","CC","","","LP","","","","","","","","LEGTOYS","","","","","","","","COMPLETE","C","","N","","","","","","","N","N","Y","SALES","07-DEC-20","RAFAELM","31-MAR-26","CREDIT CARD","","","","",""
"LEISURE","LEISURE TIME TOURS","ROBERT FRUCHER, CEO","145-98 GUY R BREWER BLVD","JAMAICA","NY","11434","","718-528-0700","","","C","","","","","CC","","","LP","","","","","","","","LEISURE","","","","","","","","COMPLETE","C","","N","","","","","","","N","N","Y","TEREZA","21-FEB-22","EDIOPERATOR","26-DEC-24","CREDIT CARD","","","","",""
"LELESADOUG","LELE SADOUGHI DESIGNS LLC","520 W. 27TH ST. SUITE 801","","NEW YORK","NY","10018","USA","999 999-9999","","","C","","","","","30","","","LP","","","","","","","","LELESADOUG","","","","","","","","COMPLETE","C","460702848","N","","","","","","","N","N","Y","DAISY","23-MAR-21","RAFAELM","31-MAR-26","NET 30","","","","",""
"LENEWTON","LEARNING EXPRESS OF NEWTON INC","1296 CENTRE ST","","NEWTON CENTRE","MA","024591544","USA","617-969-2722","617-969-3514","","C","","UPSGROUND","","","60","","","LP","HET","","","","","","","LENEWTON","","","","","","","","REGULAR","Y","","N","","","","","","","N","N","N","SHIPPING2","25-JUN-19","SAMMYH","10-NOV-20","NET 60","","","","",""
"LEORYS","LEROYS BOARD SHOP","40560 BIG BEAR BLVD","","BIG BEAR LAKE","CA","92315","USA","909-793-3420","","","C","","UPSGROUND","","","30","","","LP","HET","","","","","","","LEORYS","","","","","001","","","COMPLETE","C","","Y","","","","","","","N","N","Y","ADMIN","20-JUN-17","EDIOPERATOR","26-DEC-24","NET 30","","","","",""
"LESLIE","LESLIE MEIER ADRIENNE VITTADINI PRE 7/10","THE MADISON HOTEL C/O LORD TAYLOR EVENT","1 CONVENT ROAD","MORRISTOWN","NJ","07960","","201-280-0299","","","C","","UPSGROUND","","","30","","","LP","HET","","","","","","","LESLIE","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","AP","03-JUL-14","SAMMYH","10-NOV-20","NET 30","","","","",""
"LEVINES","LEVINES","183 PLEASANT GROVE S.C.","","DALLAS","TX","75217","USA","214-391-4509","241-391-9841","C","C","","UPSGROUND","","001","30","","","LP","HET","","","","","","","LEVINES","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","TASHA","05-MAR-08","SAMMYH","10-NOV-20","NET 30","","","","",""
"LEWISASSOC","LEWIS & ASSOCIATES","99 WEST HAWTHORNE AVE","SUITE 520","VALLEY STREAM","NY","11580","","999 999-9999","","","C","","UPSGROUND","","","30","","","LP","HET","","","","","","","LEWISASSOC","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","ADMIN","29-FEB-16","RAFAELM","31-MAR-26","NET 30","","","","",""
"LIBBYOFJEF","LIBBY OF JEFFERSON","PO BOX 10 205 B SHAMROCK","","JERREFSON","NC","28640","USA","336-846-9551","336-846-9552","","C","","","","001","CC","","","LP","A.M","","","","","","","LIBBYOFJEF","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"LIDL","LIDL US OPERATIONS, LLC","3500 S CLARK ST","","ARLINGTON","VA","22202","USA","571-982-2568","","D","C","","","","","C9","","","LP","","","","","","","","LIDL","","","","","001","","","COMPLETE","C","","N","","","","","","","N","N","Y","SALES","06-JAN-22","EDIOPERATOR","26-DEC-24","CIT NET 90","","","","",""
"LIFESTYLE","LIFE STYLE ACCESSORIES","1410 BROADWAY","","NEW YORK","NY","10018","USA","999 999-9999","","","C","","FEDGROUND","","","60","","","LP","VCT","","","","","","","LIFESTYLE","","","","","001","","","COMPLETE","C","","Y","","","","","","","N","N","Y","ADMIN","20-JUN-17","RAFAELM","31-MAR-26","NET 60","","","","",""
"LIGG","LIGG PROMO ITEM","XXXXX","XXXX","XXXX","XX","XXXX","USA","999 999-9999","","","C","","","","","","","","LP","","","","","","","","LIGG","","","","","","","","COMPLETE","C","","N","","","","","","","N","N","Y","SUMATHI","07-JUL-23","RAFAELM","31-MAR-26","","","","","",""
"LIINC","L & I INC","20725 NE 16TH AVE A-45 NORTH","","MIAMI BEACH","FL","33179","USA","000-000-0000","608-254-5078","","C","","","","001","C3","","","LP","A.M","","","","","","","LIINC","","","","","001","","","REGULAR","N","","N","","","","","","","N","N","N","TASHA","05-MAR-08","SAMMYH","02-NOV-18","CIT NET 30","","","","",""
"LILLYBOUTI","LILLY BOUTIQUE","40W.PINE STREET","","ZIONSVILLE","IN","46077","USA","317-873-0223","","","C","","","","001","30","","","LP","A.M","","","","","","","LILLYBOUTI","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"LINDACILLO","LINDA CILLO JEWERLY SALES","609 PACKFORD DRIVE","","CHESTERFIELD","MO","63017","USA","636-230-8333","212-230-7654","","C","","","","001","CC","","","LP","A.M","","","","","","","LINDACILLO","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"LINDIBOUTI","LINDIS BOUTIQUE","2970N. SWAN ROAD PLAZA PALOMINO","","TUSCON","AZ","85712","USA","520-795-6446","","","C","","","","001","CC","","","LP","A.M","","","","","","","LINDIBOUTI","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"LINKTOLINK","THE GOLDEN BEAR.INC.","6548 N.STATE  ROAD 7","","COCONUT CREEK","FL","33073","USA","954-970-7774","954-427-2327","","C","","","","001","CO","","","LP","A.M","","","","","","","LINKTOLINK","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","C.O.D.","","","","",""
"LIQUIDFASH","LIQUID FASHION","3441 MANGROVE AVENUE","","NORFOLK","VA","23502","USA","757-417-0979","757-417-0976","","C","","","","001","CC","","","LP","A.M","","","","","","","LIQUIDFASH","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"LIQUIDWORL","LIQUIDATION WORLD INC.","225 HENRY STREET","BUILDING #1","BRANTFORD","ON","N3S7R4","CANADA","519-758-9555","","","C","","","","","30","","","LP","SOS","","","","","","","LIQUIDWORL","","","","","001","","","REGULAR","N","","Y","","","","","","","N","N","N","VICTORIA","30-NOV-10","SAMMYH","02-NOV-18","NET 30","","","","",""
"LIRANGYCOM","LIRANGY COMMERCIAL","AV. DUARTE #4","VILLA FRANCISCA","SANTO DOMINGO","XX","XXXXX","DOMINICAN REPUBLIC","809-682-6834","000-000-0000","","C","","","","001","30","","","LP","A.M","","","","","","","LIRANGYCOM","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"LIRONFASHI","LIRON FASHION","117 E. FLAGLER STREET","","MAIMI","FL","33131","USA","786-425-2058","000-000-0000","","C","","","","001","30","","","LP","003","","","","","","","LIRONFASHI","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"LISS","LISS PHARMACY","407 SPRINGFIELD  AVE.","","SUMMIT","NJ","07901","USA","908-277-0399","000-000-0000","","C","","","","001","30","","","LP","I.S","","","","","","","LISS","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"LITTLETOY","THE LITTLE TOY SHOP","230 SOUTH WEST BROAD STREET","","SOUTHERN PINES","NC","28387","USA","910-692-2522","","","C","","","","","WR","","","LP","","","","","","","","LITTLETOY","","","","","","","","COMPLETE","C","","N","","","","","","","N","N","Y","SALES","20-AUG-20","EDIOPERATOR","26-DEC-24","WIRE","","","","",""
"LIVONA","LIVONA CORP.","EL CANTON MALL","40 CALLE BETANCES, SUITE 391","BAYAMON","PR","00961","PUERTO RICO","787-269-1770","","","C","","","","","60","","","LP","A.M","","","","","","","LIVONA","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","NADIAR","18-OCT-12","SAMMYH","02-NOV-18","NET 60","","","","",""
"LIVONACORP","LIVONA CORPORATION","PO BOX 55376","STATION 1","BAYAMON","PR","00960","PUERTO RICO","787-269-1770","","","C","","","","","","","","LP","SOS","","","","","","","LIVONACORP","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","ADMIN","14-NOV-12","SAMMYH","02-NOV-18","","","","","",""
"LIZZYSFASH","LIZZY'S FASHION","205 MCKINLEY STREET WEST","","MAYAGUEZ","PR","00682","","787-833-3272","","S","C","","","","","","","","LP","SOS","","","","","","","LIZZYSFASH","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","BENJIE","04-APR-12","SAMMYH","02-NOV-18","","","","","",""
"LJ","L&J ACCESSORIES","140 CANDACE AVE","","MAITLAND","FL","32751","USA","999 999-9999","","","C","","","","001","","","","LP","","","","","","","","LJ","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","11-APR-08","RAFAELM","31-MAR-26","","","","","",""
"LLC","LLC ""SUSTAIN"" (""SVSTIME"")","MOSCOW, UL. ROSLOVKA","","D. 10  KORP.","","","","999 999-9999","","","C","","","","","","","","LP","","","","","","","","LLC","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","AP","16-JUN-14","RAFAELM","31-MAR-26","","","","","",""
"LOBLAWS","LOBLAWS","X","X","X","X","XX","USA","999 999-9999","","","C","","FEDGROUND","","","","","","LP","","","","","","","","LOBLAWS","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","ADMIN","21-JAN-16","RAFAELM","31-MAR-26","","","","","",""
"LOEHMANS","LOEHMANN'S OPERATING CO","2500  HALSEY ST","","BRONX","NY","10461","USA","718-409-2000","718-518-2771","D","C","","","","001","C3","","","LP","SUS","","","","","","","LOEHMANS","","","","","001","2716366","","REGULAR","N","","N","","","","","","","N","N","N","VIVIANA","09-DEC-08","SAMMYH","02-NOV-18","CIT NET 30","","","","",""
"LOGOEXPRES","LOGO EXPRESS","649 YETTA AVENUE","","HARVEY","LA","70058","","504-367-7393","504-368-1510","S","C","","","","001","CC","","","LP","A.M","","","","","","","LOGOEXPRES","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","PORTIA","20-FEB-09","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"LOLO","LOLO HOME GOOD","6640 INDUSTRIAL HWY","","CARTERET","NJ","07008","","999 999-9999","","","C","","","","","PP","","","LP","","","","","","","","LOLO","","","","","","","","COMPLETE","C","","N","","","","","","","N","N","Y","ALBERTSOURCING","21-NOV-24","RAFAELM","31-MAR-26","PREPAY","","","","",""
"LONDONDRUG","LONDON DRUGS LIMITED","12831 HORSESHOE PLACE RIVERSIDE","INDUSTRIAL PARK RICHMOND","BRITISH COLUMBIA","XX","V744X5","CANADA","604-272-7400","604-272-4152","","C","","","","001","C3","","","LP","A.M","","","","","","","LONDONDRUG","","","","","001","","","REGULAR","N","","N","","","","","","","N","N","N","TASHA","05-MAR-08","SAMMYH","02-NOV-18","CIT NET 30","","","","",""
"LOOKIN","LOOKIN GOOD","507 N. GLOSTER ST.","","TUPELO","MS","38804","USA","662-844-7868","662-842-4494","","C","","","","001","30","","","LP","A.M","","","","","","","LOOKIN","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"LOOKINGGOO","LOOKING GOOD","507 N. GLOSTER ST","","TUPELO","MS","38804","USA","662-844-7868","662-842-4494","","C","","","","001","C3","","","LP","A.M","","","","","","","LOOKINGGOO","","","","","001","","","REGULAR","N","","N","","","","","","","N","N","N","TASHA","05-MAR-08","SAMMYH","02-NOV-18","CIT NET 30","","","","",""
"LOTLESS","LOTLESS","90 OAK STREET","","CLIFTON","NJ","07014","USA","973-270-2262","","D","C","","","","","C3","","","LP","STV","","","","","","","LOTLESS","","","","","001","","","COMPLETE","C","","Y","","","","","","","N","N","Y","JANET","12-APR-19","EDIOPERATOR","26-DEC-24","CIT NET 30","","","","",""
"LOTSSTORES","LOTS STORES","1250 SOUTH RIVER RD","SUITE# C","CRANBURY","NJ","08512","USA","000-000-0000","000-000-0000","","C","","","","001","C3","","","LP","A.M","","","","","","","LOTSSTORES","","","","","001","","","REGULAR","N","","N","","","","","","","N","N","N","TASHA","05-MAR-08","SAMMYH","02-NOV-18","CIT NET 30","","","","",""
"LOVELYBAG","LOVELY BAG INC","1177 BROADWWAY","BET. 27TH -28TH","NEW YORK","NY","10001","USA","212-448-9791","212-448-9042","S","C","","","","001","30","","","LP","MKR","","","","","","","LOVELYBAG","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","VIVIANA","20-AUG-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"LRUBINSTIN","L. RUBINSTEIN","110 NORTH MAIN STREET","","HANNIBAL","MO","63401","USA","573-221-0625","","","C","","","","001","30","","","LP","","","","","","","","LRUBINSTIN","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","11-APR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"LTD","LTD COMMODITIES LLC","200 TRI STATE INTERNATIONAL","","LINCOLNSHIRE","IL","60069","USA","(847) 295-5532","","","C","110212","","","","X3","","","LP","LSI","","","","","","","LTD","","","","","001","","","COMPLETE","C","","N","","","","","","","N","N","Y","DAISY","15-JUN-20","EDIOPERATOR","26-DEC-24","CIT ROG NET 30","","","","",""
"LTDCOM","LTD COMODITIES LLC","2800 LAKESIDE DRIVE","","BANNOCKBURN","IL","60015","USA","847-295-5501","847-735-9745","","C","","ROUTING","","","C3","","","LP","I.K","","","","","","","LTDCOM","","","","","001","","","REGULAR","N","","N","","","","","","","N","N","N","ADMIN","12-JUL-12","SAMMYH","02-NOV-18","CIT NET 30","","","","",""
"LTDCOMMOD","LTD COMMODITIES LLC.","2800 LAKESIDE DRIVE","","BANNOCKBURN","IL","60015","USA","000-000-0000","000-000-0000","","C","","","","001","C3","","","LP","A.M","","","","","","","LTDCOMMOD","","","","","001","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","CIT NET 30","","","","",""
"LUCKY21","LUCKY21 PARTNERS","283 COX STREET","","ROSELLE","NJ","07203","USA","908-351-1800 EXT. 14","","","C","","FEDGROUND","","","C3","","","LP","VCT","","","","","","","LUCKY21","","","","","001","","","REGULAR","N","","N","","","","","","","N","N","N","ADMIN","20-JUN-17","NEILA","20-APR-21","CIT NET 30","","","","",""
"LULUS","LULU'S","195 HUMBOLDT AVE.","","CHICO","CA","95928","USA","530-343-3545 X 224","530-343-2675","","C","","","","","","","","LP","","","","","","","","LULUS","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","BENJIE","16-MAY-12","SAMMYH","02-NOV-18","","","","","",""
"LUXESS","LUXURIOUS ESSENTIALS INC","21 PASTURE LANE","","ROSLYN HEIGHTS","NY","115770000","USA","516-626-5167","","D","C","","UPS","","","C4","","","LP","","","","","","","","LUXESS","","","","","001","","","COMPLETE","C","","N","","","","","","","N","N","Y","SALES","23-JAN-24","ISAAC","31-JAN-25","CIT NET 45","","","","",""
"LUXURIOUS"," LUXURIOUS","NA","NA","NY","NY","10018","","999 999-9999","","","C","","","","","","","","LP","","","","","","","","LUXURIOUS","","","","","","","","REGULAR","Y","","N","","","","","","","N","N","N","ISAAC","21-JAN-24","RAFAELM","31-MAR-26","","","","","",""
"LW947","LEARNING EXPRESS STORE # 947","3111 TWILIGHT AVE","","NAPERVILLE","IL","60564","USA","999 999-9999","","","C","","FEDGROUND","","","90","","","LP","HET","","","","","","","LW947","","","","","","","","REGULAR","Y","","N","","","","","","","N","N","N","ADMIN","09-NOV-18","RAFAELM","31-MAR-26","NET 90","","","","",""
"LYDELLS","LYDELLS","120 5TH AVE. PLACE","SUITE111","PITTSBURGH","PA","15222","USA","412-281-9098","000-000-0000","","C","","","","001","30","","","LP","I.S","","","","","","","LYDELLS","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"LYLYLEBEBE","LYLYLE BEBE","2217 E. TUDOR RD #21","","ANCHORAGE","AK","99507","USA","907-522-5858","000-000-0000","","C","","","","001","CC","","","LP","A.M","","","","","","","LYLYLEBEBE","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"MA","MARRIANNE","1000 PENNSYLVANIA AVE.","DISTRIBUTION CENTER","BROOKLYN","NY","11207","USA","999 999-9999","","","C","","","","","","","","LP","","","","","","","","MA","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","DAISY","14-JUN-13","RAFAELM","31-MAR-26","","","","","",""
"MACYS","MACYS INC","151 WEST 34TH STREET","","NEW YORK","NY","10001","USA","999 999-9999","","","C","","FEDCOLLECT","","","C6","","","LP","","","","","","","","MACYS","","","3","3","001","","","COMPLETE","C","","Y","","","","","","","N","N","Y","ADMIN","22-FEB-17","RAFAELM","25-JUN-26","CIT NET 60","","","","",""
"MACYSBACKS","MACYS BACKSTAGE","PO BOX 8251","","MASON","OH","45040","USA","999 999-9999","","D","C","","FEDCOLLECT","","","C6","","","LP","","","","","","","","MACYSBACKS","","","3","3","001","","","COMPLETE","C","","Y","","","","","","","N","N","Y","ADMIN","04-MAR-16","RAFAELM","22-JUN-26","CIT NET 60","","","","",""
"MACYSECOM","MACYS ECOM","680 FOLSOM  12TH FLOOR","","SAN FRANCISCO","CA","94107","USA","999 999-9999","","E","C","","","","","X3","","","LP","","","","","","","","MACYSECOM","","","3","3","001","","","COMPLETE","C","","Y","","","","","","","N","N","Y","MOSHE","09-MAY-19","RAFAELM","22-JUN-26","CIT ROG NET 30","","","","",""
"MADAMBIJUX","MADAM JUX","1005 S. SANTEE ST","","LOS ANGELES","MO","64111","USA","213-746-8076","213-746-7110","","C","","","","001","CO","","","LP","I.S","","","","","","","MADAMBIJUX","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","C.O.D.","","","","",""
"MADISON","MADISON JEWELERS","1441 BROADWAY 27TH FLOOR","","NEW YORK","NY","10018","USA","999 999-9999","","","C","","FEDGROUND","","","30","","","LP","HET","","","","","","","MADISON","","","","","","","APPR","COMPLETE","C","","Y","","","","","","","N","N","Y","ADMIN","30-APR-18","RAFAELM","31-MAR-26","NET 30","","","","",""
"MADRAG","CITI TRENDS INC","104 COLEMAN BLVD","","SAVANNAH","GA","31408USA","","999 999-9999","","","C","","","","","","","","LP","","","","","","","","MADRAG","","","","","","","","REGULAR","Y","","N","","","","","","","N","N","N","ELIZA","12-FEB-21","RAFAELM","31-MAR-26","","","","","",""
"MAGICTREE","MAGIC TREE SAL","KHATOUN CENTER UNESCO","","VERDUN","BY","00961","BEIRUT","009611799944","","","C","","","","","WR","","","LP","FBR","","","","","","","MAGICTREE","","","","","","","","COMPLETE","C","","N","","","","","","","N","N","Y","SALES","16-SEP-22","EDIOPERATOR","26-DEC-24","WIRE","","","","",""
"MAGMA","MAGMA LIFE","29155 NORTHWESTERN HIGHWAY","KYLE LONG","SOUTHFIELD","MI","48034","USA","586-350-4982","","","C","","","","","","","","LP","","","","","","","","MAGMA","","","","","","","","COMPLETE","C","","N","","","","","","","N","N","Y","SAMMYH","19-APR-20","EDIOPERATOR","26-DEC-24","","","","","",""
"MAINIMAGEF","MAIN IMAGE FASHIONS","3850 MAIN STREET","","KANSAS CITY","MO","64111","USA","816-256-1506","","","C","","","","001","CC","","","LP","MKR","","","","","","","MAINIMAGEF","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","TASHA","20-MAR-08","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"MAINMERCH","MAINMERCH","150 E GROVE ST","FL 3","DUNMORE","PA","18510","USA","570-832-2591","","","C","","","","","CC","","","LP","","","","","","","","MAINMERCH","","","","","","","","COMPLETE","C","","N","","","","","","","N","N","Y","SAMMYH","11-MAY-20","EDIOPERATOR","26-DEC-24","CREDIT CARD","","","","",""
"MAINSTREET","MAIN STREET BOUTIQUE","151 SOUTH MAIN STREET","","BRADFORD","MA","01835","USA","978-374-0023","978-974-9117","","C","","","","001","30","","","LP","A.M","","","","","","","MAINSTREET","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"MAINSTREGA","MAIN STREET GALLERY","PO BOX 911 208E","","WOODIN CHELAN","WA","98816","USA","509-682-9262","509-682-4147","","C","","","","001","CC","","","LP","A.M","","","","","","","MAINSTREGA","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"MAJESTIC","MAJESTIC LUXURY","P.O. BOX 149","","LONG BEACH","MS","39560","USA","228-234-1717","","","C","","","","001","CC","","","LP","A.M","","","","","","","MAJESTIC","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"MAKEOVER","MAKE OVER","4225 AMBOY RD","","S.I.","NY","10308","USA","718-966-7677","000-000-0000","","C","","","","001","CO","","","LP","I.S","","","","","","","MAKEOVER","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","C.O.D.","","","","",""
"MALSHAMLAN","MARZOOQ AL SHAMLAN & SONS","P.O BOX 116","","DOHA","XX","00000","QATAR","999 999-9999","","","C","","FEDGROUND","","","","","","LP","","","","","","","","MALSHAMLAN","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","ADMIN","22-MAY-17","RAFAELM","31-MAR-26","","","","","",""
"MALSONRAGS","MALSONS RAGGMATAZZ","2021 BROADWAY","","OKLAND","CA","94612","USA","510-763-3735","510-843-9203","","C","","","","001","CC","","","LP","A.M","","","","","","","MALSONRAGS","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"MANDEE","A&M (2015) LLC","50 DUFFLAW ROAD","","TORONTO","","M6A2W1","CANADA","416-789-1071","","D","C","","","","","3A","","","LP","","","","","","","","MANDEE","","","","","001","","","COMPLETE","C","","N","","","","","","","N","N","Y","SALES","22-APR-26","ISAAC","04-JUN-26","CIT NET 30 DAYS","","","","",""
"MANDEES","MANDEES","12 VREELAND AVENUE","","TOTOWA","NJ","07512","USA","973-890-0021","","S","C","C","","","001","C3","","","LP","PAM","","","","","","","MANDEES","","","","","001","","","REGULAR","N","","Y","","","","","","","N","N","N","VIVIANA","25-NOV-09","SAMMYH","02-NOV-18","CIT NET 30","","","","",""
"MANKIND","MANKIND APPAREL","1000 HIGHWAY 15 NORTH","SUITE300","LOUREL","MI","39440","USA","401-426-6693","000-000-0000","","C","","","","001","CC","","","LP","A.M","","","","","","","MANKIND","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","03-APR-08","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"MANUELROJA","MANUEL ROJAS JOYERIA MANUEL ROJAS","4 AVS. 3Y5 50 NORTE DEL BCO. NACIONAL","","SAN JOSE","XX","XXXXX","COSTA RICA","999 999-9999","","","C","","","","001","WR","","","LP","SKA","","","","","","","MANUELROJA","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","27-MAR-08","RAFAELM","31-MAR-26","WIRE","","","","",""
"MARCELA","MARCELA LUCIA HERNANDEZ","CALLE 159 # 54 70","","BOGOTA","XX","XXXXX","COLOMBIA","57 316 4447811","","","C","","","","","WR","","","LP","","","","","","","","MARCELA","","","","","","","","COMPLETE","C","","N","","","","","","","N","N","Y","STEPH","27-AUG-20","EDIOPERATOR","26-DEC-24","WIRE","","","","",""
"MARCELDIS","MARCEL DISTRIBUTORS","660 MAIN STREET SUITE B","","SPRING FIELD","OR","97477","USA","541-915-3615","","","C","","","","001","CC","","","LP","A.M","","","","","","","MARCELDIS","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","27-MAR-08","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
